gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn
1,0,1,0.013888888888888888,1,0,0,2,0.4158415841584158,0
0,0,0,0.41666666666666663,1,0,0,1,0.3663366336633664,0
0,1,0,0.6388888888888888,1,1,1,0,0.8118811881188119,0
1,0,0,0.5972222222222222,1,0,0,1,0.4752475247524753,0
1,0,0,0.013888888888888888,1,1,1,2,0.01980198019801982,0
1,0,1,0.1388888888888889,1,1,1,0,0.06930693069306931,0
1,0,1,1.0,0,0,0,0,0.46534653465346537,0
1,0,0,0.9166666666666666,0,1,1,0,0.3861386138613862,0
0,0,0,0.9305555555555555,1,1,0,2,0.0297029702970297,0
0,0,1,0.4861111111111111,1,1,1,0,0.31683168316831684,0
1,0,1,1.0,1,1,1,2,0.8910891089108912,0
0,0,0,0.5138888888888888,0,0,1,1,0.21782178217821785,0
1,0,1,1.0,1,1,1,2,0.8712871287128714,0
1,0,0,0.16666666666666666,1,0,1,1,0.6633663366336633,0
1,0,1,0.6944444444444444,1,0,0,0,0.5742574257425743,0
1,1,0,0.875,0,0,0,0,0.1782178217821782,0
0,0,0,0.2638888888888889,1,1,0,2,0.6831683168316831,0
1,0,0,0.25,1,0,0,0,0.5148514851485149,0
1,1,1,0.38888888888888884,1,1,1,1,0.32673267326732675,0
1,0,1,0.38888888888888884,1,1,0,2,0.7425742574257426,0
1,0,1,0.4861111111111111,1,1,1,0,0.7128712871287128,0
0,0,0,0.013888888888888888,1,0,1,2,0.01980198019801982,0
1,0,0,0.19444444444444442,0,1,0,2,0.12871287128712872,0
0,0,1,0.4861111111111111,1,0,0,0,0.8811881188118813,0
0,0,0,0.013888888888888888,1,1,0,1,0.01980198019801982,0
0,0,0,0.8055555555555555,1,1,1,0,0.8316831683168318,1
0,0,0,0.38888888888888884,1,1,0,2,0.8613861386138615,1
1,0,1,0.06944444444444445,1,1,0,1,0.613861386138614,1
